number of clusters = 1
Cluster 0 (276) : 
0: Input vars: (0x6), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 
90: Input vars: (0x2), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

91: Input vars: (0xc), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32Z(0x0) 

92: Input vars: (0x5), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

93: Input vars: (0x3), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

94: Input vars: 1-to-32Z(0x2), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and (0x0) 

95: Input vars: (0x3), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

96: Input vars: (0x2), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

97: Input vars: (0x5), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

98: Input vars: (0x2), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

99: Input vars: (0xb), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

100: Input vars: 1-to-32Z(0x8), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and (0x0) 

101: Input vars: (0x3), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

102: Input vars: (0x7), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

103: Input vars: 8-to-32S(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32Z(0x0) 

104: Input vars: 1-to-32Z(0x2), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and (0x0) 

105: Input vars: (0x4), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

106: Input vars: (0x5), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

107: Input vars: (0xb), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

108: Input vars: (0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

109: Input vars: (0x3), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

110: Input vars: 1-to-32Z(0x2), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and (0x0) 

111: Input vars: (0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

112: Input vars: (0x2), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

113: Input vars: (0x2), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

114: Input vars: (0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

115: Input vars: (0x8), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32Z(0x0) 

116: Input vars: (0xb), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

117: Input vars: 1-to-32Z(0x2), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and (0x0) 

118: Input vars: 1-to-32Z(0x8), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and (0x0) 

119: Input vars: 1-to-32Z(0x8), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and (0x0) 

