number of clusters = 909
Cluster 0 (10) : 
0: Input vars: (0x0), const(0xc), (0x0), const(0xd), and (0x0) 
1257: Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

1365: Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

1370: Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

1374: Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

1388: Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

1389: Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

1506: Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

1526: Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

1613: Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

1620: Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

1625: Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

1628: Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

1642: Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

1657: Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

1790: Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

1812: Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

1932: Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

1935: Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

1944: Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

2070: Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

2078: Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

2082: Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

2098: Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

2104: Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

2236: Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

2241: Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

2242: Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

2257: Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

2265: Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

2363: Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

2364: Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

2369: Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

2379: Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

2483: Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

2484: Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

2489: Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

2498: Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

2503: Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

2648: Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

2649: Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

2655: Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

2671: Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

2780: Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

2789: Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

2804: Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

2807: Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

2951: Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

2954: Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

2964: Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

2966: Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

2980: Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

3137: Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

3147: Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

3165: Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

3313: Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

3322: Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

3323: Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

3325: Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

3332: Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

3342: Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

3344: Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

3348: Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

3500: Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

3502: Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

3504: Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

3536: Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

3632: Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

3831: Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

