number of clusters = 18
Cluster 0 (54) : 
243: Input vars: const(0x0), 32-to-32C(0x7), and 1-to-32S(0x0) 

245: Input vars: const(0x0), 32-to-32C(0xc), and 1-to-32S(0x0) 

246: Input vars: const(0x0), 32-to-32C(0x8), and 1-to-32S(0x0) 

247: Input vars: const(0x0), 32-to-32C(0x3), and 1-to-32S(0x0) 

248: Input vars: const(0x0), 32-to-32C(0xc), and 1-to-32S(0x0) 

249: Input vars: const(0x0), 32-to-32C(0x3), and 1-to-32S(0x0) 

251: Input vars: const(0x0), 32-to-32C(0x2), and 1-to-32S(0x0) 

252: Input vars: const(0x0), 32-to-32C(0x7), and 1-to-32S(0x0) 

253: Input vars: const(0x0), 32-to-32C(0x8), and 1-to-32S(0x0) 

254: Input vars: const(0x0), 32-to-32C(0x8), and 1-to-32S(0x0) 

255: Input vars: const(0x0), 32-to-32C(0x3), and 1-to-32S(0x0) 

256: Input vars: const(0x0), 32-to-32C(0x3), and 1-to-32S(0x0) 

259: Input vars: const(0x0), 32-to-32C(0x5), and 1-to-32S(0x0) 

264: Input vars: const(0x0), 32-to-32C(0x2), and 1-to-32S(0x0) 

265: Input vars: const(0x0), 32-to-32C(0x3), and 1-to-32S(0x0) 

272: Input vars: (0x0), const(0xffffffff), and 1-to-32S(0x0) 

274: Input vars: const(0x0), 32-to-32C(0x8), and 1-to-32S(0x0) 

275: Input vars: const(0x0), 32-to-32C(0x3), and 1-to-32S(0x0) 

278: Input vars: const(0x0), 32-to-32C(0x3), and 1-to-32S(0x0) 

279: Input vars: const(0x0), 32-to-32C(0x2), and 1-to-32S(0x0) 

280: Input vars: const(0x0), 32-to-32C(0x2), and 1-to-32S(0x0) 

281: Input vars: const(0x0), 32-to-32C(0x2), and 1-to-32S(0x0) 

284: Input vars: const(0x0), 32-to-32C(0xb), and 1-to-32S(0x0) 

285: Input vars: const(0x0), 32-to-32C(0x2), and 1-to-32S(0x0) 

286: Input vars: (0x0), const(0xffffffff), and 1-to-32S(0x0) 

287: Input vars: const(0x0), 32-to-32C(0x3), and 1-to-32S(0x0) 

288: Input vars: const(0x0), 32-to-32C(0xc), and 1-to-32S(0x0) 

289: Input vars: const(0x0), 32-to-32C(0x3), and 1-to-32S(0x0) 

295: Input vars: const(0x0), 32-to-32C(0x3), and 1-to-32S(0x0) 

297: Input vars: const(0x0), 32-to-32C(0x6), and 1-to-32S(0x0) 

299: Input vars: const(0x0), 32-to-32C(0x3), and 1-to-32S(0x0) 

300: Input vars: const(0x0), 32-to-32C(0x3), and 1-to-32S(0x0) 

301: Input vars: const(0x0), 32-to-32C(0x5), and 1-to-32S(0x0) 

302: Input vars: const(0x0), 32-to-32C(0x5), and 1-to-32S(0x0) 

303: Input vars: const(0x0), 32-to-32C(0x3), and 1-to-32S(0x0) 

308: Input vars: const(0x0), 32-to-32C(0x5), and 1-to-32S(0x0) 

310: Input vars: const(0x0), 32-to-32C(0x5), and 1-to-32S(0x0) 

311: Input vars: (0x0), const(0xffffffff), and 1-to-32S(0x0) 

312: Input vars: const(0x0), 32-to-32C(0x5), and 1-to-32S(0x0) 

313: Input vars: (0x0), const(0xffffffff), and 1-to-32S(0x0) 

314: Input vars: const(0x0), 32-to-32C(0x3), and 1-to-32S(0x0) 

315: Input vars: const(0x0), 32-to-32C(0x3), and 1-to-32S(0x0) 

316: Input vars: const(0x0), 32-to-32C(0x2), and 1-to-32S(0x0) 

317: Input vars: const(0x0), 32-to-32C(0x3), and 1-to-32S(0x0) 

318: Input vars: const(0x0), 32-to-32C(0x2), and 1-to-32S(0x0) 

319: Input vars: const(0x0), 32-to-32C(0x2), and 1-to-32S(0x0) 

321: Input vars: const(0x0), 32-to-32C(0x5), and 1-to-32S(0x0) 

325: Input vars: const(0x0), 32-to-32C(0x2), and 1-to-32S(0x0) 

326: Input vars: const(0x0), 32-to-32C(0x3), and 1-to-32S(0x0) 

327: Input vars: const(0x0), 32-to-32C(0x8), and 1-to-32S(0x0) 

328: Input vars: const(0x0), 32-to-32C(0x3), and 1-to-32S(0x0) 

329: Input vars: const(0x0), 32-to-32C(0x3), and 1-to-32S(0x0) 

Cluster 2 (9) : 
11: Input vars: const(0x0), 32-to-32C(0x4), and 1-to-32S(0x0) 

34: Input vars: const(0x7fffffec), (0x5), and 1-to-32S(0x0) 

