number of clusters = 364
Input vars: const(0x8018), const(0x2d9), 32-to-1(0x2), const(0x0), and 8-to-32S(0x0) 

Cluster 11 (7) : 
Input vars: const(0x0), const(0x400), 32-to-32C(0x5), const(0x6), and (0x0) 

Input vars: const(0x80000000), const(0x400), (0x5), 1-to-32Z(0x1), and (0x0) 

Input vars: const(0x0), const(0x400), (0x5), 1-to-32S(0x9), and (0x0) 

Input vars: const(0x0), const(0x400), 32-to-32C(0x5), const(0x401), and (0x0) 

Input vars: const(0x0), const(0x400), (0x5), 1-to-32S(0x9), and (0x0) 

Input vars: const(0x0), const(0x400), (0x5), const(0x401), and (0x0) 

Input vars: const(0x0), const(0x400), (0x5), const(0x80000008), and (0x0) 

Cluster 12 (39) : 
Input vars: (0x0), const(0xffffffa4), 32-to-32C(0x0), const(0xffffffa5), and (0x0) 

Input vars: (0x0), const(0xffffffa4), 32-to-32C(0x0), const(0xffffffa5), and (0x0) 

Input vars: (0x0), const(0xffffffa4), 32-to-32C(0x0), const(0xffffffa5), and (0x0) 

Input vars: (0x0), const(0xffffffa4), (0x0), const(0xffffffa5), and (0x0) 

Input vars: (0x0), const(0xffffffa4), (0x0), const(0xffffffa5), and (0x0) 

Input vars: (0x0), const(0xffffffa4), (0x0), const(0xffffffa5), and (0x0) 

Input vars: (0x0), const(0xffffffa4), 32-to-32C(0x0), const(0xffffffa5), and (0x0) 

Input vars: (0x0), const(0xffffffa4), (0x0), const(0xffffffa5), and (0x0) 

Input vars: (0x0), const(0xffffffa4), (0x0), const(0xffffffa5), and (0x0) 

Input vars: (0x0), const(0xffffffa4), (0x0), const(0xffffffa5), and (0x0) 

Input vars: (0x0), const(0xffffffa4), (0x0), const(0xffffffa5), and (0x0) 

Input vars: (0x0), const(0xffffffa4), 32-to-32C(0x0), const(0xffffffa5), and (0x0) 

Input vars: (0x0), const(0xffffffa4), 32-to-32C(0x0), const(0xffffffa5), and (0x0) 

Input vars: (0x0), const(0xffffffa4), 32-to-32C(0x0), const(0xffffffa5), and (0x0) 

Input vars: (0x0), const(0xffffffa4), (0x0), const(0xffffffa5), and (0x0) 

Input vars: (0x0), const(0xffffffa4), (0x0), const(0xffffffa5), and (0x0) 

Input vars: (0x0), const(0xffffffa4), 32-to-32C(0x0), const(0xffffffa5), and (0x0) 

Input vars: (0x0), const(0xffffffa4), 32-to-32C(0x0), const(0xffffffa5), and (0x0) 

Input vars: (0x0), const(0xffffffa4), 32-to-32C(0x0), const(0xffffffa5), and (0x0) 

Input vars: (0x0), const(0xffffffa4), (0x0), const(0xffffffa5), and (0x0) 

Input vars: (0x0), const(0xffffffa4), 32-to-32C(0x0), const(0xffffffa5), and (0x0) 

Input vars: (0x0), const(0xffffffa4), (0x0), const(0xffffffa5), and (0x0) 

Input vars: (0x0), const(0xffffffa4), (0x0), const(0xffffffa5), and (0x0) 

Input vars: (0x0), const(0xffffffa4), 32-to-32C(0x0), const(0xffffffa5), and (0x0) 

Input vars: (0x0), const(0xffffffa4), (0x0), const(0xffffffa5), and (0x0) 

Input vars: (0x0), const(0xffffffa4), 32-to-32C(0x0), const(0xffffffa5), and (0x0) 

Input vars: (0x0), const(0xffffffa4), 32-to-32C(0x0), const(0xffffffa5), and (0x0) 

Input vars: (0x0), const(0xffffffa4), 32-to-32C(0x0), const(0xffffffa5), and (0x0) 

Input vars: (0x0), const(0xffffffa4), 32-to-32C(0x0), const(0xffffffa5), and (0x0) 

Input vars: (0x0), const(0xffffffa4), (0x0), const(0xffffffa5), and (0x0) 

Input vars: (0x0), const(0xffffffa4), (0x0), const(0xffffffa5), and (0x0) 

Input vars: (0x0), const(0xffffffa4), 32-to-32C(0x0), const(0xffffffa5), and (0x0) 

Input vars: (0x0), const(0xffffffa4), 32-to-32C(0x0), const(0xffffffa5), and (0x0) 

Input vars: (0x0), const(0xffffffa4), 32-to-32C(0x0), const(0xffffffa5), and (0x0) 

Input vars: (0x0), const(0xffffffa4), (0x0), const(0xffffffa5), and (0x0) 

Input vars: (0x0), const(0xffffffa4), (0x0), const(0xffffffa5), and (0x0) 

Input vars: (0x0), const(0xffffffa4), 32-to-32C(0x0), const(0xffffffa5), and (0x0) 

Input vars: (0x0), const(0xffffffa4), (0x0), const(0xffffffa5), and (0x0) 

Input vars: (0x0), const(0xffffffa4), (0x0), const(0xffffffa5), and (0x0) 

Cluster 13 (1) : 
Input vars: const(0x0), const(0x4), (0x3), 32-to-1(0x3), and (0x0) 

Cluster 14 (4) : 
Input vars: 1-to-32Z(0x3), 16-to-32S(0x3), const(0x3), const(0xa6590001), and (0x0) 

Input vars: 1-to-32Z(0x3), 16-to-32S(0x3), const(0x3), const(0x1), and (0x0) 

Input vars: 1-to-32Z(0x3), 16-to-32S(0x3), const(0x3), const(0x3), and (0x0) 

Input vars: 1-to-32Z(0x3), 16-to-32S(0x3), const(0x80000003), const(0x3), and (0x0) 

