number of clusters = 110
Cluster 1 (67) : 
376: Input vars: (0x3), const(0x0), const(0x3f), and (0x0) 

388: Input vars: (0x3), const(0x0), const(0x3f), and (0x0) 

433: Input vars: (0x3), const(0x0), const(0x3f), and (0x0) 

448: Input vars: (0x3), const(0x0), const(0x3f), and (0x0) 

468: Input vars: (0x3), const(0x0), const(0x3f), and (0x0) 

470: Input vars: (0x3), const(0x0), const(0x3f), and (0x0) 

508: Input vars: (0x3), const(0x0), const(0x3f), and (0x0) 

509: Input vars: (0x3), const(0x0), const(0x3f), and (0x0) 

528: Input vars: (0x3), const(0x0), const(0x3f), and (0x0) 

530: Input vars: (0x3), const(0x0), const(0x3f), and (0x0) 

548: Input vars: (0x3), const(0x0), const(0x3f), and (0x0) 

551: Input vars: (0x3), const(0x0), const(0x3f), and (0x0) 

572: Input vars: (0x3), const(0x0), const(0x3f), and (0x0) 

575: Input vars: (0x3), const(0x0), const(0x3f), and (0x0) 

Cluster 15 (68) : 
18: Input vars: 32-to-32C(0x3), const(0x0), const(0xffffffff), and (0x0) 

52: Input vars: 32-to-32C(0x5), const(0x0), const(0xffffffff), and (0x0) 

59: Input vars: 32-to-32C(0x5), const(0x0), const(0xffffffff), and (0x0) 

63: Input vars: 32-to-32C(0x5), const(0x0), const(0xffffffff), and (0x0) 

67: Input vars: 32-to-32C(0x3), const(0x0), const(0xffffffff), and (0x0) 

68: Input vars: (0x0), const(0xffffffff), const(0x0), and (0x0) 

69: Input vars: 32-to-32C(0x8), const(0x0), const(0xffffffff), and (0x0) 

70: Input vars: 32-to-32C(0x6), const(0x0), const(0xffffffff), and (0x0) 

71: Input vars: 32-to-32C(0x3), const(0x0), const(0xffffffff), and (0x0) 

86: Input vars: 32-to-32C(0xa), const(0x0), const(0xffffffff), and (0x0) 

91: Input vars: 32-to-32C(0x2), const(0x0), const(0xffffffff), and (0x0) 

107: Input vars: 32-to-32C(0x3), const(0x0), const(0xffffffff), and (0x0) 

108: Input vars: (0x0), const(0xffffffff), const(0x0), and (0x0) 

109: Input vars: 32-to-32C(0x8), const(0x0), const(0xffffffff), and (0x0) 

119: Input vars: 32-to-32C(0xb), const(0x0), const(0xffffffff), and (0x0) 

128: Input vars: 32-to-32C(0x8), const(0x0), const(0xffffffff), and (0x0) 

130: Input vars: (0x0), const(0xffffffff), const(0x0), and (0x0) 

131: Input vars: 32-to-32C(0x8), const(0x0), const(0xffffffff), and (0x0) 

156: Input vars: (0x0), const(0xffffffff), const(0x0), and (0x0) 

159: Input vars: 32-to-32C(0x3), const(0x0), const(0xffffffff), and (0x0) 

160: Input vars: 32-to-32C(0x2), const(0x0), const(0xffffffff), and (0x0) 

162: Input vars: 32-to-32C(0x7), const(0x0), const(0xffffffff), and (0x0) 

163: Input vars: 32-to-32C(0x7), const(0x0), const(0xffffffff), and (0x0) 

164: Input vars: 32-to-32C(0x5), const(0x0), const(0xffffffff), and (0x0) 

174: Input vars: 32-to-32C(0xa), const(0x0), const(0xffffffff), and (0x0) 

178: Input vars: 32-to-32C(0xa), const(0x0), const(0xffffffff), and (0x0) 

215: Input vars: 32-to-32C(0xb), const(0x0), const(0xffffffff), and (0x0) 

220: Input vars: 32-to-32C(0x7), const(0x0), const(0xffffffff), and (0x0) 

